original_size,cleaned_size,word_count,formula_count,section_count,figure_count,table_count,citation_count,filename
53334,9879,1485,383,8,1,1,17,chubich.tex
31473,18129,2337,102,4,1,1,2,chukhno.tex
29414,18356,2402,115,4,2,0,5,Chuprakov.tex
26040,8465,1127,74,0,0,0,14,chuprikov.tex
29553,4665,861,250,2,0,0,2,chuprinov.tex
24362,3526,683,221,3,0,0,0,chuprunov.tex
10710,7202,1131,33,0,0,0,0,CON-ENS.TEX
11402,7447,1113,33,0,0,0,0,CON-RUS.TEX
2037,1121,128,0,0,0,0,0,CONT0104.TEX
1832,1003,120,1,0,0,0,0,CONT0105.TEX
1924,994,121,0,0,0,0,0,CONT0204.TEX
1619,677,78,0,0,0,0,0,CONT0205.TEX
1855,936,118,1,0,0,0,0,CONT0304.TEX
1961,1082,129,3,0,0,0,0,CONT0305.TEX
1607,807,93,0,0,0,0,0,CONT0403.TEX
1585,788,99,0,0,0,0,0,CONT0404.TEX
1977,1039,121,0,0,0,0,0,CONT0405.TEX
1688,812,102,3,0,0,0,0,CONT0503.TEX
2017,1035,118,0,0,0,0,0,CONT0504.TEX
2163,1292,157,2,0,0,0,0,CONT0505.TEX
1496,754,90,2,0,0,0,0,CONT0603.TEX
2152,1229,159,0,0,0,0,0,CONT0604.TEX
2290,1408,176,4,0,0,0,0,CONT0605.TEX
2049,1048,121,1,0,0,0,0,cont0703.tex
1975,1143,139,2,0,0,0,0,CONT0704.TEX
1820,776,88,2,0,0,0,0,CONT0705.TEX
1492,587,70,0,0,0,0,0,CONT0804.TEX
1647,689,85,0,0,0,0,0,CONT0805.TEX
1840,922,109,2,0,0,0,0,CONT0904.TEX
1656,832,97,0,0,0,0,0,CONT0905.TEX
1852,971,120,0,0,0,0,0,CONT100.TEX
1493,201,24,1,0,0,0,0,CONT1000.TEX
1977,1025,127,1,0,0,0,0,CONT1001.TEX
1559,728,93,1,0,0,0,0,CONT1002.TEX
1676,806,93,1,0,0,0,0,CONT1003.TEX
2172,1239,146,3,0,0,0,0,CONT1004.TEX
1602,667,80,0,0,0,0,0,CONT1005.TEX
1564,807,89,3,0,0,0,0,CONT101.TEX
